음절,성별,순위,글자,음,훈
채,M,3,采,채,"풍채·캘"
채,M,4,菜,채,"나물"
채,M,5,綵,채,"비단"
채,M,6,蔡,채,"풀"
태,M,1,泰,태,"클"
태,M,2,台,태,"별·태풍"
태,M,3,太,태,"클"
태,M,4,兌,태,"바꿀·기쁠"
태,M,5,態,태,"모습"
태,M,6,跆,태,"밟을"
하,M,1,河,하,"물"
하,M,2,下,하,"아래"
하,M,3,荷,하,"멜·꾸짖을"
하,M,4,夏,하,"여름"
하,M,5,何,하,"어찌·꾸짖을"
하,M,6,霞,하,"노을"
한,M,1,漢,한,"한수·한나라"
한,M,2,韓,한,"한국·나라"
한,M,3,閑,한,"한가할·막을"
한,M,4,翰,한,"깃"
한,M,5,閒,한,"한가할"
한,M,6,罕,한,"드물"
헌,M,1,獻,헌,"드릴"
헌,M,2,憲,헌,"법"
헌,M,3,軒,헌,"집"
헌,M,4,櫶,헌,"나무 이름"
헌,M,5,昍,헌,"밝을"
헌,M,6,幰,헌,"수레 휘장"
혁,M,1,赫,혁,"빛날"
혁,M,2,革,혁,"가죽"
혁,M,3,奕,혁,"클"
혁,M,4,爀,혁,"불빛"
혁,M,5,焱,혁,"불꽃"
혁,M,6,焃,혁,"빛날"
현,M,1,賢,현,"어질"
현,M,2,炫,현,"밝을"
현,M,3,鉉,현,"솥귀"
현,M,4,玄,현,"검을"
현,M,5,現,현,"나타날"
현,M,6,見,현,"뵈올"
형,M,1,形,형,"모양"
형,M,2,亨,형,"형통할"
형,M,3,衡,형,"저울대"
형,M,4,兄,형,"맏"
형,M,5,炯,형,"빛날"
형,M,6,螢,형,"반딧불이"
혜,M,1,慧,혜,"슬기로울"
혜,M,2,惠,혜,"은혜"
혜,M,3,彗,혜,"비"
혜,M,4,蕙,혜,"풀 이름"
혜,M,5,兮,혜,"어조사"
혜,M,6,鞋,혜,"신"
호,M,1,虎,호,"범"
호,M,2,鎬,호,"땅 이름"
호,M,3,好,호,"좋을"
호,M,4,豪,호,"호걸"
호,M,5,浩,호,"넓을"
호,M,6,號,호,"이름·부르짖을"
환,M,1,還,환,"돌아올"
환,M,2,煥,환,"불꽃·빛날"
환,M,3,桓,환,"굳셀"
환,M,4,環,환,"고리"
환,M,5,歡,환,"기쁠"
환,M,6,換,환,"바꿀"
효,M,1,孝,효,"효도"
효,M,2,效,효,"본받을"
효,M,3,曉,효,"새벽"
효,M,4,爻,효,"사귈"
효,M,5,嚆,효,"울릴"
효,M,6,斅,효,"가르칠"
후,M,1,後,후,"뒤"
후,M,2,厚,후,"두터울"
후,M,3,候,후,"기후·살필"
후,M,4,后,후,"임금·뒤"
후,M,5,侯,후,"제후·과녁"
후,M,6,煦,후,"따뜻하게 할"
훈,M,1,勳,훈,"공"
훈,M,2,訓,훈,"가르칠"
훈,M,3,薰,훈,"향초"
훈,M,4,熏,훈,"불길"
훈,M,5,暈,훈,"무리"
훈,M,6,勛,훈,"공"
희,M,1,喜,희,"기쁠"
희,M,2,熙,희,"빛날"
희,M,3,希,희,"바랄"
희,M,4,熹,희,"빛날"
희,M,5,羲,희,"복희씨"
희,M,6,稀,희,"드물"
